Start Date,Respondent ID,IP Address,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
,,,Response,Response,Response,Other (please specify),Response,Response,"Not specified above, please specify",Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Advisor,Response,Other (please specify),Response,Response,Response,Response,Open-Ended Response
4/18/21 14:21,12585137346,174.248.169.255,United States of America,25 to 34,06-10,,Graduated from College/University,Man,,No,,,Detection Analyst,Senior Security Engineer,Advisor,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,9,
4/18/21 2:04,12584432754,202.159.170.24,Australia,35 to 44,21-40,,Graduated from high school,Man,,Yes,GIAC GCIH,CISSP,Network Engineer,Head of Cyber Security,Advisor,Finance & Financial Services,,Cybersecurity (cyber),No,Yes,8,
4/17/21 8:29,12583477294,72.196.237.7,United States of America,25 to 34,06-10,,Completed graduate school,Woman,,Yes,CCSP,CISSP,Information assurance analyst,Cyber Threat Chief,Analyst,Government,,Cybersecurity (cyber),Yes,No,4,Threat “manager”
4/16/21 8:22,12581047950,72.1.196.178,Canada,55 to 64,11-20,,Graduated from College/University,Man,,No,,all certifications are meaningless if you don't use/apply what you learned.,Software developer,Lead Security Researcher,Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,9,Why pick one when you can enjoy them all.
4/14/21 10:01,12574765721,71.190.107.53,United States of America,25 to 34,06-10,,Some graduate school,Woman,,Yes,,,Helpdesk Analyst ,Consulting Sales Engineer,Analyst - CTI,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Security Automation Engineer
4/14/21 6:22,12574113441,62.133.47.8,Canada,35 to 44,06-10,,Some College/University,Woman,,Yes,,,Phishing analyst,Incident handler,Analyst covering Security and Risk ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Leads of any kind
4/13/21 10:55,12571670373,165.214.11.68,United States of America,35 to 44,01-5,,Some College/University,Man,,No,,,Helpdesk,Desktop Support,Analyst for Journalist Cybersecurity,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,2,
4/13/21 8:29,12571176370,188.62.222.32,Switzerland,35 to 44,11-20,,Completed graduate school,Man,,Yes,Giac gcda ,Cissp,Presales,Head of soc ,analytics engineer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,4,Threat hunter
4/12/21 19:33,12569809123,76.182.229.70,United States of America,45 to 54,11-20,,Graduated from College/University,Man,,No,,,Systems Engineer,Strategist,Application security administrator,Software Sales,,Cybersecurity (cyber),No,Yes,8,Chief Data Officer
4/12/21 10:06,12568262887,74.96.78.124,United States of America,45 to 54,11-20,,Graduated from College/University,Woman,,No,,,Junior database administrator,SE manager,Architect,Software Sales,,Cybersecurity (cyber),No,No,4,
